date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:48:33	82507/82507	---M-Z	200	added ('OK')	text/html	etag:%221424b-5edfc546a755d-gzip%22	https://templates.iqonic.design/cloudbox/html/backend/index.html	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/backend/index.html	(from )
04:48:34	286/286	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Sep%202024%2000:48:34%20GMT	https://templates.iqonic.design/robots.txt		(from )
04:48:34	330454/330454	---M-Z	200	added ('OK')	text/css	etag:%2250ad6-5edfc546a179d-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/css/backend-plugin.min.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/css/backend-plugin.min.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:35	472166/472166	---M-Z	200	added ('OK')	text/css	etag:%2273466-5edfc546a273d-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/css/backend.css?v=1.0.0	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/css/backende209.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:35	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-5c4912ffb064a-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:35	89729/89729	---M-Z	200	added ('OK')	text/css	etag:%2215e81-5c4913000e24e-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:35	110438/110438	---M-Z	200	added ('OK')	text/css	etag:%221af66-5c4913001018f-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/remixicon/fonts/remixicon.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/remixicon/fonts/remixicon.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:36	53652/53652	---M-Z	200	added ('OK')	text/css	etag:%22d194-5c4912ffea02d-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/pdf/pdf.viewer.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/pdf/pdf.viewer.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:36	1887/1887	---M-Z	200	added ('OK')	text/css	etag:%2275f-5c4912ffc8ceb-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/PPTXjs/css/pptxjs.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/PPTXjs/css/pptxjs.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:36	9345/9345	---M-Z	200	added ('OK')	text/css	etag:%222481-5c4912ffc8ceb-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/PPTXjs/css/nv.d3.min.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/PPTXjs/css/nv.d3.min.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:36	25538/25538	---M-Z	200	added ('OK')	text/css	etag:%2263c2-5c4912ffd38cc-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/SheetJS/handsontable.full.min.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/SheetJS/handsontable.full.min.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:37	162/162	---M-Z	200	added ('OK')	text/css	etag:%22a2-5c4912ffedead-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/verySimpleImageViewer/css/jquery.verySimpleImageViewer.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/verySimpleImageViewer/css/jquery.verySimpleImageViewer.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:37	2198/2198	---M-Z	200	added ('OK')	text/css	etag:%22896-5c4912ffe138c-gzip%22	https://templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/officeToHtml/officeToHtml.css	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/vendor/doc-viewer/include/officeToHtml/officeToHtml.css	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:37	52917/52917	---M--	200	added ('OK')	image/png	etag:%22ceb5-5c4912ff87608%22	https://templates.iqonic.design/cloudbox/html/assets/images/logo.png	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/images/logo.png	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:37	77252/77252	---M-Z	200	added ('OK')	text/html	etag:%2212dc4-5ee0c0fb1691c-gzip%22	https://templates.iqonic.design/cloudbox/html/backend/page-alexa.html	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/backend/page-alexa.html	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:38	52645/52645	---M--	200	added ('OK')	image/png	etag:%22cda5-5c4912ff87608%22	https://templates.iqonic.design/cloudbox/html/assets/images/logo-white.png	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/assets/images/logo-white.png	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:38	77573/77573	---M-Z	200	added ('OK')	text/html	etag:%2212f05-5ee0d5d17dcc5-gzip%22	https://templates.iqonic.design/cloudbox/html/backend/page-android.html	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/backend/page-android.html	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:38	77226/77226	---M-Z	200	added ('OK')	text/html	etag:%2212daa-5ee0d5d17dcc5-gzip%22	https://templates.iqonic.design/cloudbox/html/backend/page-brightspot.html	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/backend/page-brightspot.html	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:38	77221/77221	---M-Z	200	added ('OK')	text/html	etag:%2212da5-5ee0c0fb1691c-gzip%22	https://templates.iqonic.design/cloudbox/html/backend/page-ionic.html	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/backend/page-ionic.html	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
04:48:38	60075/60075	---M-Z	200	added ('OK')	text/html	etag:%22eaab-5edfc546a755d-gzip%22	https://templates.iqonic.design/cloudbox/html/backend/page-files.html	C:/Users/Legion/Desktop/New%20folder%20(2)/cloud/templates.iqonic.design/cloudbox/html/backend/page-files.html	(from https://templates.iqonic.design/cloudbox/html/backend/index.html)
